phi,x,y,z,kappa
0.0,2.5,0.0,1.8797507872829269,0.5517381288961754
0.05235987755982988,2.490412377806984,-0.10445673865853639,1.7257336034303552,0.553319672433464
0.10471975511965977,2.461743296468982,-0.20733907295898552,1.5731549526553599,0.5543559004877974
0.15707963267948966,2.4142731150378682,-0.30709102652219034,1.4231164876766078,0.5532623927925688
0.20943951023931953,2.348465787197707,-0.402193273795941,1.276568703461654,0.5493522258034512
0.2617993877991494,2.2649639319657267,-0.491180954897479,1.1343716063112543,0.5431573449799618
0.3141592653589793,2.1645820078575753,-0.5726608840637621,0.9973741849437744,0.5359656533395488
0.36651914291880916,2.0482976647132936,-0.6453279599929869,0.8664721828876308,0.5289297028884206
0.41887902047863906,1.9172413671808881,-0.7079805951402913,0.7426160650019578,0.5223791495725014
0.47123889803846897,1.7726844026270774,-0.7595349918228744,0.6267682075928216,0.5157464656788526
0.5235987755982988,1.6160254037844388,-0.7990381056766579,0.5198332946111411,0.5080384294767315
0.5759586531581287,1.4487755325591247,-0.8256791514488742,0.4225931911118722,0.4983957717718428
0.6283185307179586,1.2725424859373689,-0.8387995221502574,0.33566331272448224,0.4862616750414248
0.6806784082777885,1.0890134976836103,-0.8379010100508714,0.25946223670575114,0.4710843234945069
0.7330382858376183,0.899937520378875,-0.8226522366935517,0.19416829624753565,0.45198582441165314
0.7853981633974483,0.7071067811865478,-0.7928932188134524,0.13964026743389862,0.4279803721366741
0.8377580409572781,0.5123379114573783,-0.7486380175750156,0.09530431573313983,0.3989538956202639
0.890117918517108,0.3174528548231988,-0.6900754396437379,0.06004173970185792,0.36697061228411376
0.9424777960769379,0.12425976073005207,-0.6175677800677832,0.03213124353643971,0.3369880565592557
0.9948376736367678,-0.06546592959867303,-0.5316476185184773,0.009291634797784451,0.3159646376870042
1.0471975511965976,-0.24999999999999944,-0.4330127018922195,-0.011162383504687023,0.30979945362926437
1.0995574287564276,-0.42768737869916257,-0.3225189673740537,-0.032080825888494625,0.31963463569394096
1.1519173063162573,-0.5969592664624865,-0.20117178057349117,-0.05621455877479477,0.34134448455826055
1.2042771838760873,-0.7563492886707908,-0.07011548304108584,-0.08598926340627337,0.3687494343120878
1.2566370614359172,-0.9045084971874737,0.06937863785644394,-0.12335765519068763,0.39668868634898075
1.308996938995747,-1.0402190605741366,0.21592582628906798,-0.16973802515968026,0.42202464741801315
1.361356816555577,-1.1624064956461415,0.3680426361201051,-0.22602221832321007,0.4434312105962261
1.413716694115407,-1.2701503094024995,0.5241628490327164,-0.29262867926917174,0.46094317752841135
1.4660765716752366,-1.3626929378330548,0.6826543591416335,-0.36958325764194994,0.4755588735149832
1.5184364492350666,-1.4394468868094659,0.8418368398530933,-0.45662006235157626,0.4887820777416991
1.5707963267948966,-1.5,0.9999999999999998,-0.5532954751699957,0.5019768604902156
1.6231562043547263,-1.5441187992953533,1.1554222296560537,-0.6590985833070303,0.5156472456203599
1.6755160819145563,-1.571749864368362,1.306389431594912,-0.7735297727282673,0.528989955806679
1.7278759594743862,-1.5830192394829614,1.4512138321575587,-0.8961191673785883,0.5401080195844692
1.780235837034216,-1.5782298772816605,1.5882525653475055,-1.0263749190748461,0.5470075100369515
1.832595714594046,-1.5578571507791787,1.7159258262890682,-1.1636821895692224,0.5489238633448995
1.8849555921538759,-1.522542485937369,1.8327343947338632,-1.3072005330342926,0.5470482735318287
1.9373154697137056,-1.473085187761392,1.9372763360354888,-1.4558131127020058,0.5440146112658959
1.9896753472735356,-1.410432552614088,2.0282626958586922,-1.6081593444501643,0.5424737065674187
2.0420352248333655,-1.3356683781782566,2.104532015750789,-1.7627427686938357,0.5437584476296655
2.0943951023931953,-1.2500000000000002,2.165063509461096,-1.9180691615332488,0.5474586536759005
2.146754979953025,-1.154743999628728,2.208988754409325,-2.0727562594488904,0.552034761841207
2.199114857512855,-1.0513107438548943,2.235601768817678,-2.2255732642280237,0.5559696029841814
2.251474735072685,-0.9411879272764769,2.2443673625576794,-2.375405510053688,0.5586895278512855
2.3038346126325147,-0.8259233012603393,2.2349276685298043,-2.521176118502564,0.5607010651960852
2.356194490192345,-0.7071067811865477,2.207106781186548,-2.6617725252318065,0.562973484735804
2.4085543677521746,-0.5863521305759146,2.160913449411268,-2.796014826617186,0.566112284395099
2.4609142453120043,-0.4652784252303328,2.0965417921505467,-2.9226744025182714,0.5699176611312399
2.5132741228718345,-0.3454915028125265,2.014370026735204,-3.040523776698743,0.5735397819951783
2.5656340004316642,-0.22856560333172427,1.9149572214789286,-3.148387758172281,0.5759760565620724
2.617993877991494,-0.11602540378443948,1.799038105676659,-3.2451748467985384,0.5764579430095901
2.670353755551324,-0.009328645749658526,1.6675159913019684,-3.3298869517377856,0.5744824781434594
2.722713633111154,0.09015045189568605,1.5214538812918923,-3.401619773492404,0.5696446919744885
2.7750735106709836,0.18113681171888896,1.362063859083589,-3.4595664237094352,0.5616139801941814
2.827433388230814,0.2624689752672673,1.1906948728136575,-3.5030254161413144,0.5503758444057597
2.8797932657906435,0.3331122793875889,1.0088190451025214,-3.5314026731562405,0.5364701286497827
2.9321531433504733,0.392170585730095,0.8180166554314611,-3.544197231164007,0.5208427982911936
2.9845130209103035,0.4388964338475926,0.6199599566026525,-3.540974149590466,0.5042615272160763
3.036872898470133,0.47269950573243535,0.4163959994942936,-3.521346108413974,0.48670858701947123
3.089232776029963,0.49315330829783544,0.2091286511444257,-3.484992136430152,0.4673037205513714
3.141592653589793,0.5,4.898587196589413e-16,-3.431728208389195,0.4449785029192186
3.193952531149623,0.49315330829783577,-0.20912865114442297,-3.3616141922001144,0.4195281924387193
3.2463124087094526,0.4726995057324358,-0.41639599949429085,-3.2750518764023786,0.392263662090439
3.2986722862692828,0.438896433847593,-0.6199599566026516,-3.172819557016128,0.36572200628891915
3.3510321638291125,0.39217058573009556,-0.8180166554314586,-3.056009703358045,0.3426323180126382
3.4033920413889422,0.3331122793875899,-1.0088190451025194,-2.925879496574592,0.3248525825929662
3.4557519189487724,0.26246897526726787,-1.1906948728136566,-2.783666956749133,0.3128605012168001
3.508111796508602,0.18113681171889007,-1.3620638590835867,-2.6304436849450865,0.30588129992488633
3.560471674068432,0.09015045189568727,-1.5214538812918903,-2.4670576907553303,0.3023985141667367
3.612831551628262,-0.009328645749657971,-1.6675159913019675,-2.2941754009710706,0.3007873198001344
3.665191429188092,-0.11602540378443804,-1.7990381056766571,-2.112385197103611,0.29987064032130495
3.7175513067479216,-0.2285656033317227,-1.9149572214789274,-1.9223012172925285,0.2991776812265103
3.7699111843077517,-0.345491502812526,-2.014370026735203,-1.7246172170192098,0.29878461022281677
3.8222710618675815,-0.4652784252303313,-2.096541792150546,-1.5200970907778528,0.2988911604959011
3.874630939427411,-0.5863521305759132,-2.1609134494112676,-1.309527831555253,0.29946245903647123
3.9269908169872414,-0.7071067811865472,-2.207106781186547,-1.0936790200481459,0.30017005484751236
